일자,홈/어웨이,팀명,선발투수,시즌평균자책점,시즌WAR,시즌경기,시즌선발평균이닝,시즌QS,시즌WHIP,홈어웨이평균자책점,홈어웨이경기,홈어웨이선발평균이닝,홈어웨이QS,홈어웨이WHIP,맞대결평균자책점,맞대결경기,맞대결선발평균이닝,맞대결QS,맞대결WHIP
2024-09-22,어웨이,두산,발라조빅,3.58,1.49,10,5.0,2,1.39,3.43,4,5.1,1,1.29,1.59,1,5.2,0,1.24
2024-09-22,홈,LG,엔스,4.12,3.37,29,5.2,13,1.31,4.25,13,5.2,7,1.29,3.94,3,5.1,1,1.25
2024-09-22,어웨이,키움,후라도,3.17,5.48,29,6.1,23,1.14,3.77,14,6.0,9,1.21,1.80,4,6.1,4,1.12
2024-09-22,홈,삼성,원태인,3.75,3.59,27,5.2,12,1.21,3.55,15,6.0,8,1.13,3.18,3,5.2,1,1.06
2024-09-22,어웨이,SSG,김광현,5.19,1.39,29,5.1,12,1.48,4.13,12,5.1,7,1.32,3.86,3,5.1,1,1.59
2024-09-22,홈,KT,벤자민,4.35,2.01,26,5.1,10,1.23,3.84,12,5.1,4,1.18,4.38,2,6.1,1,1.30
2024-09-22,어웨이,NC,최성영,6.42,-0.31,22,4.0,1,1.89,6.23,13,3.0,0,1.98,6.00,4,0.0,0,1.89
2024-09-22,홈,KIA,윤영철,4.30,0.92,16,4.2,3,1.54,4.80,7,4.1,2,1.67,9.00,1,5.0,0,2.20
2024-09-22,어웨이,롯데,반즈,2.99,4.35,23,6.0,17,1.20,2.71,10,6.1,8,1.10,1.77,3,6.2,3,1.03
2024-09-22,홈,한화,와이스,4.00,1.85,14,5.2,10,1.15,4.21,6,6.0,4,1.40,8.71,2,5.1,1,1.45
