일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-28,어웨이,KIA,4.38,0.300,5.9,5.3,4.09,0.302,6.0,4.9,5.21,0.276,4.8,5.9
2024-09-28,홈,롯데,5.03,0.284,5.6,5.5,4.81,0.308,6.2,5.5,4.36,0.285,5.9,4.8
2024-09-28,어웨이,LG,4.63,0.282,5.6,5.1,4.99,0.277,5.5,5.2,3.48,0.282,4.3,4.0
2024-09-28,홈,삼성,4.64,0.269,5.4,5.0,4.66,0.274,5.7,5.2,4.26,0.229,4.0,4.3
2024-09-28,어웨이,두산,4.84,0.277,5.5,5.2,5.43,0.287,5.8,5.5,3.29,0.295,5.5,3.7
2024-09-28,홈,NC,5.00,0.273,5.4,5.6,4.26,0.280,5.4,5.1,4.87,0.231,3.7,5.5
2024-09-28,어웨이,키움,5.13,0.265,4.7,5.5,5.60,0.273,5.3,5.9,4.99,0.227,3.1,5.1
2024-09-28,홈,KT,5.11,0.278,5.3,5.6,5.20,0.283,5.0,5.8,2.51,0.285,5.1,3.1
2024-09-28,어웨이,SSG,5.29,0.273,5.2,5.7,4.97,0.267,4.9,5.1,4.70,0.259,4.1,4.9
2024-09-28,홈,한화,4.98,0.272,5.2,5.4,5.02,0.268,5.1,5.4,3.73,0.261,4.9,4.1
