순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,삼성,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57,581,21,70,930,109,0.469,0.378,0.847,143,0.311,0.239
2,키움,0.298,144,5811,5069,904,1512,304,20,203,2465,855,61,55,544,18,82,1098,112,0.486,0.372,0.858,141,0.298,0.270
3,두산,0.290,144,5759,4957,807,1436,254,22,140,2154,770,75,60,567,24,99,820,139,0.435,0.370,0.805,143,0.287,0.262
4,NC,0.289,144,5727,4967,844,1437,283,28,161,2259,802,64,53,536,25,106,1023,105,0.455,0.367,0.822,144,0.293,0.280
5,롯데,0.280,144,5680,4972,765,1393,254,19,177,2216,727,80,28,532,22,68,1186,136,0.446,0.356,0.802,144,0.274,0.183
6,KT,0.273,144,5605,4927,670,1344,221,15,129,1982,633,75,37,507,21,58,1112,118,0.402,0.345,0.747,142,0.272,0.267
7,SSG,0.272,144,5588,4861,693,1323,214,10,145,1992,656,110,29,490,13,98,1047,113,0.410,0.349,0.759,144,0.280,0.227
8,한화,0.271,144,5716,4852,717,1316,218,19,130,1962,667,139,35,581,33,109,1135,112,0.404,0.360,0.764,144,0.269,0.207
9,LG,0.269,144,5599,4941,653,1331,252,22,114,1969,601,75,41,462,18,80,1076,98,0.399,0.339,0.738,144,0.245,0.218
10,KIA,0.251,144,5454,4777,648,1197,223,22,136,1872,602,79,43,454,16,101,1126,105,0.392,0.326,0.718,144,0.248,0.198
