순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,KIA,140,85,2,53,0.616,0.558,5.96,834,162,124,9.1,15.6,0.336,0.301,0.370,0.462,0.832,0.365,31.06
2,삼성,142,77,2,63,0.550,0.534,5.35,760,181,113,9.4,20.2,0.313,0.269,0.347,0.427,0.774,0.342,17.97
3,LG,141,74,2,65,0.532,0.543,5.60,789,113,168,10.8,17.0,0.327,0.283,0.366,0.413,0.779,0.349,20.22
4,두산,142,72,2,68,0.514,0.523,5.50,781,149,182,8.9,19.0,0.323,0.277,0.350,0.425,0.775,0.343,18.42
5,KT,142,70,2,70,0.500,0.476,5.28,749,143,61,10.0,19.4,0.328,0.277,0.354,0.414,0.768,0.343,17.90
6,SSG,140,68,2,70,0.493,0.451,5.18,725,147,144,8.4,19.3,0.318,0.272,0.341,0.418,0.759,0.336,14.04
7,롯데,139,63,4,72,0.467,0.501,5.52,768,122,104,8.5,18.8,0.333,0.283,0.350,0.428,0.778,0.344,18.00
8,한화,140,64,2,74,0.464,0.478,5.21,729,126,68,9.3,18.9,0.319,0.271,0.348,0.399,0.747,0.335,12.33
9,NC,137,60,2,75,0.444,0.499,5.46,748,168,102,9.1,20.8,0.323,0.274,0.354,0.430,0.784,0.348,20.43
10,키움,139,58,0,81,0.417,0.431,4.68,651,99,65,8.8,19.9,0.321,0.265,0.338,0.381,0.719,0.324,7.26
