경기코드,연도,월,일,시작시간,어웨이팀명,홈팀명,어웨이점수,홈점수,비고,어웨이예측순위,홈예측순위,어웨이배당률,홈배당률,어웨이승률,홈승률
20240901-두산-1400,2024,09,01,14:00,롯데,두산,4,3,,5.877,4.525,1.56,1.44,0.44,0.56
20240901-SSG-1400,2024,09,01,14:00,NC,SSG,8,2,,4.342,3.685,1.53,1.47,0.47,0.53
20240901-삼성-1400,2024,09,01,14:00,KIA,삼성,6,5,,4.993,7.872,1.37,1.63,0.63,0.37
20240903-삼성-1830,2024,09,03,18:30,롯데,삼성,1,5,,5.877,7.872,1.41,1.59,0.59,0.41
20240903-NC-1830,2024,09,03,18:30,키움,NC,5,11,,8.87,4.342,1.7,1.3,0.3,0.7
20240903-KIA-1830,2024,09,03,18:30,LG,KIA,5,7,,0.67,4.993,1.31,1.69,0.69,0.31
20240903-한화-1830,2024,09,03,18:30,두산,한화,1,7,,4.525,8.536,1.32,1.68,0.68,0.32
20240904-LG-1830,2024,09,04,18:30,SSG,LG,0,5,,3.685,0.67,1.63,1.37,0.37,0.63
20240904-롯데-1830,2024,09,04,18:30,KT,롯데,5,7,,2.962,5.877,1.37,1.63,0.63,0.37
20240904-삼성-1830,2024,09,04,18:30,두산,삼성,3,7,,4.525,7.872,1.35,1.65,0.65,0.35
20240904-NC-1830,2024,09,04,18:30,키움,NC,6,13,,8.87,4.342,1.7,1.3,0.3,0.7
20240904-KIA-1830,2024,09,04,18:30,한화,KIA,5,4,,8.536,4.993,1.66,1.34,0.34,0.66
20240905-LG-1830,2024,09,05,18:30,SSG,LG,4,2,,3.685,0.67,1.63,1.37,0.37,0.63
20240905-롯데-1830,2024,09,05,18:30,KT,롯데,12,2,,2.962,5.877,1.37,1.63,0.63,0.37
20240905-NC-1830,2024,09,05,18:30,키움,NC,12,7,,8.87,4.342,1.7,1.3,0.3,0.7
20240905-KIA-1830,2024,09,05,18:30,한화,KIA,3,4,,8.536,4.993,1.66,1.34,0.34,0.66
20240906-LG-1830,2024,09,06,18:30,한화,LG,3,1,,8.536,0.67,1.85,1.15,0.15,0.85
20240906-롯데-1830,2024,09,06,18:30,삼성,롯데,7,2,,7.872,5.877,1.59,1.41,0.41,0.59
20240906-NC-1830,2024,09,06,18:30,KT,NC,9,3,,2.962,4.342,1.44,1.56,0.56,0.44
20240906-KIA-1830,2024,09,06,18:30,키움,KIA,0,14,,8.87,4.993,1.67,1.33,0.33,0.67
20240907-LG-1400,2024,09,07,14:00,한화,LG,3,9,,8.536,0.67,1.85,1.15,0.15,0.85
20240907-롯데-1700,2024,09,07,17:00,SSG,롯데,1,1,,3.685,5.877,1.4,1.6,0.6,0.4
20240907-삼성-1700,2024,09,07,17:00,NC,삼성,9,1,,4.342,7.872,1.34,1.66,0.66,0.34
20240907-KT-1700,2024,09,07,17:00,두산,KT,12,2,,4.525,2.962,1.57,1.43,0.43,0.57
20240907-KIA-1700,2024,09,07,17:00,키움,KIA,2,6,,8.87,4.993,1.67,1.33,0.33,0.67
20240908-LG-1400,2024,09,08,14:00,한화,LG,3,14,,8.536,0.67,1.85,1.15,0.15,0.85
20240908-롯데-1400,2024,09,08,14:00,SSG,롯데,11,6,,3.685,5.877,1.4,1.6,0.6,0.4
20240908-삼성-1400,2024,09,08,14:00,NC,삼성,2,10,,4.342,7.872,1.34,1.66,0.66,0.34
20240908-KIA-1400,2024,09,08,14:00,키움,KIA,2,5,,8.87,4.993,1.67,1.33,0.33,0.67
20240910-LG-1830,2024,09,10,18:30,롯데,LG,2,1,,5.877,0.67,1.73,1.27,0.27,0.73
20240910-SSG-1830,2024,09,10,18:30,한화,SSG,0,5,,8.536,3.685,1.72,1.28,0.28,0.72
20240910-KT-1830,2024,09,10,18:30,NC,KT,8,11,,4.342,2.962,1.56,1.44,0.44,0.56
20240910-키움-1830,2024,09,10,18:30,두산,키움,1,7,,4.525,8.87,1.31,1.69,0.69,0.31
20240911-LG-1830,2024,09,11,18:30,키움,LG,9,5,,8.87,0.67,1.86,1.14,0.14,0.86
20240911-SSG-1830,2024,09,11,18:30,롯데,SSG,10,2,,5.877,3.685,1.6,1.4,0.4,0.6
20240911-KT-1830,2024,09,11,18:30,NC,KT,1,2,,4.342,2.962,1.56,1.44,0.44,0.56
20240911-한화-1830,2024,09,11,18:30,삼성,한화,10,1,,7.872,8.536,1.47,1.53,0.53,0.47
20240912-LG-1830,2024,09,12,18:30,키움,LG,,,우천취소,8.87,0.67,1.86,1.14,0.14,0.86
20240912-KT-1830,2024,09,12,18:30,NC,KT,4,10,,4.342,2.962,1.56,1.44,0.44,0.56
20240912-KIA-1830,2024,09,12,18:30,롯데,KIA,0,10,,5.877,4.993,1.54,1.46,0.46,0.54
