순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,SSG,4.67,144,78,65,29,63,0.545,1274.667,1353,189,425,74,1130,729,662,1.39,0,7,60,21,5563,21347,0.271,232,17,39,24,15,62,2,20.366,2.659
2,한화,4.93,144,77,67,37,62,0.535,1274.0,1394,164,472,89,1124,761,698,1.46,0,5,45,13,5637,22342,0.279,246,13,29,46,9,78,7,19.895,2.381
3,두산,4.98,144,93,51,41,56,0.646,1288.667,1401,154,476,109,1025,756,713,1.46,1,9,73,17,5700,21946,0.279,266,16,42,43,17,72,2,17.91,2.153
4,키움,5.08,144,75,69,32,72,0.521,1282.0,1442,178,416,98,1021,780,723,1.45,4,2,63,23,5646,21381,0.285,252,18,41,33,13,59,4,17.995,2.454
5,삼성,5.19,144,68,72,33,56,0.486,1285.333,1477,185,441,107,1114,802,741,1.49,0,5,58,17,5740,22530,0.289,291,18,40,43,10,45,5,19.366,2.526
6,LG,5.29,144,68,75,29,43,0.476,1268.667,1434,159,453,89,1058,816,746,1.49,3,7,64,17,5677,21711,0.285,266,19,45,50,13,72,4,18.709,2.336
7,KT,5.34,144,59,82,24,45,0.418,1274.333,1580,194,409,84,1025,834,756,1.56,4,5,59,18,5743,21948,0.307,272,23,56,43,25,63,1,17.769,2.506
8,롯데,5.37,144,68,74,29,64,0.479,1283.667,1410,166,548,73,1164,846,766,1.53,0,6,43,22,5788,22871,0.279,295,26,63,43,23,65,7,20.231,2.124
9,KIA,5.40,144,70,74,26,43,0.486,1270.667,1511,181,445,69,1017,826,763,1.54,4,5,50,20,5708,21852,0.297,271,17,47,51,28,65,3,17.811,2.285
10,NC,5.48,144,58,85,24,51,0.406,1264.0,1443,186,537,68,1010,844,769,1.57,1,4,45,20,5701,22506,0.289,248,20,45,51,17,92,6,17.677,1.881
