순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,두산,4.31,144,79,61,23,45,0.564,1285 2/3,1395,109,478,61,1046,695,616,1.46,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4
2,LG,4.37,144,79,61,29,67,0.564,1292 2/3,1344,123,493,86,1019,694,627,1.42,2,13,70,19,5655,21725,0.270,240,17,38,56,12,49,4
3,키움,4.39,144,80,63,42,81,0.559,1280 1/3,1336,126,446,73,950,692,624,1.39,0,6,53,18,5556,21349,0.270,208,15,50,39,16,51,7
4,KT,4.54,144,81,62,33,71,0.566,1290 1/3,1357,118,523,59,848,715,651,1.46,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1
5,NC,4.58,144,83,55,31,88,0.601,1296 2/3,1292,153,547,79,1049,714,660,1.42,0,7,59,19,5690,22362,0.260,199,15,53,35,10,65,7
6,롯데,4.64,144,71,72,25,59,0.497,1277 1/3,1351,143,447,58,1002,720,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4
7,삼성,4.78,144,64,75,25,80,0.460,1272 1/3,1330,151,542,67,931,745,676,1.47,3,11,53,19,5634,22269,0.270,222,16,50,47,16,55,5
8,KIA,5.13,144,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4
9,한화,5.28,144,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5
10,SK,5.57,144,51,92,20,53,0.357,1259 1/3,1343,162,670,84,953,846,780,1.60,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5
