순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK
1,KIA,4.38,133,81,50,42,84,0.618,1192,1256,135,503,82,1047,701,580,1.48,4.38,4,7,39,19,5343,20835,212,17,31,34,13,44,2
2,삼성,4.44,134,75,57,38,109,0.568,1198 2/3,1251,146,438,75,929,634,591,1.41,4.44,2,11,45,22,5264,20744,200,22,45,57,18,54,1
3,LG,4.60,132,68,62,29,58,0.523,1171,1259,113,493,73,991,668,599,1.50,4.60,2,5,54,18,5231,20401,201,8,47,54,10,61,4
4,NC,4.87,131,58,71,20,59,0.450,1161 2/3,1258,124,483,60,961,715,629,1.50,4.87,0,7,51,15,5187,20383,240,23,48,50,7,42,6
5,두산,4.90,133,65,66,38,69,0.496,1185 2/3,1244,125,538,88,1004,702,645,1.50,4.90,1,6,39,18,5336,21283,212,29,49,36,11,64,4
6,한화,5.00,131,60,69,23,58,0.465,1161 2/3,1298,122,472,71,1041,709,645,1.52,5.00,0,9,43,17,5209,20554,207,18,47,46,10,57,4
7,롯데,5.05,130,59,67,27,51,0.468,1156 2/3,1295,128,487,69,1026,710,649,1.54,5.05,1,6,51,24,5214,20409,229,18,49,49,16,72,3
8,키움,5.06,132,56,76,22,45,0.424,1168 1/3,1288,135,460,78,854,721,657,1.50,5.06,0,3,53,11,5233,19719,232,24,38,61,14,56,7
9,KT,5.15,134,67,65,27,49,0.508,1192 1/3,1359,142,407,62,1053,751,682,1.48,5.15,0,5,46,18,5325,20262,244,34,44,65,21,55,5
10,SSG,5.32,132,62,68,26,72,0.477,1162 2/3,1241,150,578,68,1080,758,687,1.56,5.32,0,7,36,18,5263,20865,184,13,42,40,23,54,4
