순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KIA,142,85,55,2,0.607,0,5승0무5패,2패,41-1-30,44-1-25
2,삼성,143,78,63,2,0.553,7.5,4승0무6패,1승,41-0-31,37-2-32
3,LG,143,75,66,2,0.532,10.5,6승0무4패,1승,39-1-33,36-1-33
4,두산,143,73,68,2,0.518,12.5,8승0무2패,3승,39-1-31,34-1-37
5,KT,143,71,70,2,0.504,14.5,5승0무5패,2승,33-1-36,38-1-34
6,SSG,142,70,70,2,0.500,15,8승0무2패,2승,34-1-35,36-1-35
7,한화,142,66,74,2,0.471,19,5승0무5패,2승,30-2-37,36-0-37
8,롯데,142,65,73,4,0.471,19,5승0무5패,1승,37-3-30,28-1-43
9,NC,140,60,78,2,0.435,24,2승0무8패,5패,34-0-37,26-2-41
10,키움,142,58,84,0,0.408,28,2승0무8패,3패,32-0-41,26-0-43
