타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명,사진
27.0,0.407,11.0,1.0,16.0,5.0,0.0,8.0,1.0,0.593,0.407,윤도현,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52667.jpg
6.0,0.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.4,0.5,김두현,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54614.jpg
625.0,0.347,189.0,38.0,352.0,143.0,66.0,109.0,40.0,0.647,0.42,김도영,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52605.jpg
466.0,0.329,139.0,9.0,189.0,48.0,30.0,57.0,5.0,0.447,0.38,김선빈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/78603.jpg
248.0,0.31,63.0,1.0,82.0,40.0,36.0,26.0,3.0,0.404,0.416,서건창,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/78168.jpg
602.0,0.31,171.0,26.0,285.0,92.0,41.0,97.0,13.0,0.516,0.359,소크라테스,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52630.jpg
69.0,0.308,20.0,0.0,25.0,17.0,4.0,11.0,0.0,0.385,0.348,박정우,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/67609.jpg
577.0,0.307,158.0,5.0,199.0,86.0,48.0,61.0,20.0,0.386,0.363,박찬호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64646.jpg
316.0,0.307,88.0,7.0,131.0,39.0,21.0,41.0,0.0,0.456,0.351,한준수,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68646.jpg
187.0,0.304,51.0,5.0,79.0,22.0,16.0,21.0,1.0,0.47,0.369,변우혁,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69727.jpg
115.0,0.295,31.0,0.0,41.0,27.0,6.0,11.0,5.0,0.39,0.339,홍종표,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50600.jpg
