타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명
625.0,0.347,189.0,38.0,352.0,143.0,66.0,109.0,40.0,0.647,0.42,김도영
466.0,0.329,139.0,9.0,189.0,48.0,30.0,57.0,5.0,0.447,0.38,김선빈
248.0,0.31,63.0,1.0,82.0,40.0,36.0,26.0,3.0,0.404,0.416,서건창
602.0,0.31,171.0,26.0,285.0,92.0,41.0,97.0,13.0,0.516,0.359,소크라테스
69.0,0.308,20.0,0.0,25.0,17.0,4.0,11.0,0.0,0.385,0.348,박정우
577.0,0.307,158.0,5.0,199.0,86.0,48.0,61.0,20.0,0.386,0.363,박찬호
316.0,0.307,88.0,7.0,131.0,39.0,21.0,41.0,0.0,0.456,0.351,한준수
187.0,0.304,51.0,5.0,79.0,22.0,16.0,21.0,1.0,0.47,0.369,변우혁
115.0,0.295,31.0,0.0,41.0,27.0,6.0,11.0,5.0,0.39,0.339,홍종표
508.0,0.292,128.0,9.0,184.0,75.0,50.0,56.0,21.0,0.42,0.371,최원준
424.0,0.291,109.0,21.0,191.0,51.0,38.0,80.0,0.0,0.511,0.357,나성범
449.0,0.288,115.0,9.0,160.0,56.0,44.0,54.0,7.0,0.401,0.361,이우성
487.0,0.28,119.0,22.0,212.0,67.0,52.0,109.0,1.0,0.499,0.361,최형우
270.0,0.264,62.0,7.0,90.0,24.0,12.0,34.0,0.0,0.383,0.328,김태군
247.0,0.262,50.0,1.0,63.0,36.0,45.0,18.0,4.0,0.33,0.401,이창진
67.0,0.136,8.0,1.0,13.0,12.0,8.0,4.0,3.0,0.22,0.239,김호령
568.0,0.343,169.0,33.0,309.0,92.0,55.0,115.0,13.0,0.627,0.417,구자욱
535.0,0.316,143.0,3.0,174.0,102.0,60.0,36.0,42.0,0.384,0.405,김지찬
452.0,0.303,122.0,19.0,200.0,48.0,35.0,77.0,3.0,0.496,0.365,강민호
311.0,0.302,85.0,9.0,122.0,43.0,22.0,34.0,4.0,0.434,0.358,김헌곤
315.0,0.294,80.0,4.0,105.0,28.0,39.0,36.0,1.0,0.386,0.381,맥키넌
188.0,0.286,46.0,7.0,73.0,26.0,22.0,20.0,1.0,0.453,0.378,윤정빈
118.0,0.282,31.0,7.0,57.0,14.0,6.0,19.0,0.0,0.518,0.331,디아즈
458.0,0.26,101.0,14.0,163.0,71.0,58.0,66.0,2.0,0.419,0.365,이재현
348.0,0.258,78.0,3.0,98.0,43.0,33.0,36.0,11.0,0.325,0.341,류지혁
509.0,0.252,115.0,28.0,221.0,65.0,45.0,79.0,9.0,0.485,0.321,김영웅
166.0,0.248,36.0,1.0,43.0,9.0,17.0,9.0,0.0,0.297,0.335,이병헌
89.0,0.243,18.0,0.0,22.0,15.0,9.0,6.0,3.0,0.297,0.326,김성윤
355.0,0.242,73.0,22.0,151.0,56.0,31.0,57.0,9.0,0.5,0.339,이성규
91.0,0.238,20.0,2.0,30.0,13.0,5.0,12.0,4.0,0.357,0.278,김재상
406.0,0.231,81.0,23.0,157.0,52.0,47.0,70.0,4.0,0.449,0.333,박병호
128.0,0.225,25.0,5.0,45.0,17.0,14.0,14.0,0.0,0.405,0.313,전병우
205.0,0.224,41.0,0.0,53.0,23.0,11.0,11.0,2.0,0.29,0.279,김현준
166.0,0.218,31.0,0.0,33.0,24.0,11.0,8.0,4.0,0.232,0.279,안주형
54.0,0.184,9.0,0.0,13.0,6.0,3.0,6.0,2.0,0.265,0.222,김재혁
637.0,0.336,176.0,5.0,215.0,96.0,96.0,73.0,10.0,0.41,0.447,홍창기
604.0,0.319,168.0,32.0,302.0,99.0,61.0,132.0,12.0,0.573,0.384,오스틴
361.0,0.315,96.0,0.0,116.0,47.0,49.0,48.0,13.0,0.38,0.411,문성주
602.0,0.301,156.0,22.0,263.0,80.0,65.0,101.0,7.0,0.507,0.372,문보경
474.0,0.297,115.0,0.0,138.0,78.0,64.0,40.0,32.0,0.357,0.401,신민재
583.0,0.294,152.0,8.0,216.0,61.0,47.0,69.0,6.0,0.418,0.357,김현수
498.0,0.272,118.0,20.0,200.0,58.0,55.0,80.0,1.0,0.461,0.349,박동원
553.0,0.263,127.0,6.0,173.0,72.0,46.0,56.0,43.0,0.359,0.336,박해민
389.0,0.257,87.0,2.0,111.0,48.0,38.0,43.0,8.0,0.327,0.335,구본혁
428.0,0.254,94.0,10.0,152.0,67.0,51.0,59.0,17.0,0.411,0.35,오지환
180.0,0.241,39.0,6.0,61.0,14.0,14.0,24.0,0.0,0.377,0.306,김범석
71.0,0.222,14.0,2.0,22.0,11.0,4.0,12.0,0.0,0.349,0.261,이영빈
56.0,0.184,9.0,0.0,10.0,8.0,4.0,3.0,2.0,0.204,0.241,안익훈
105.0,0.138,11.0,0.0,13.0,10.0,9.0,11.0,0.0,0.163,0.3,허도환
169.0,0.326,47.0,10.0,95.0,29.0,21.0,39.0,4.0,0.66,0.42,제러드
485.0,0.314,135.0,17.0,206.0,57.0,40.0,94.0,2.0,0.479,0.379,양의지
477.0,0.309,129.0,7.0,178.0,69.0,36.0,61.0,5.0,0.427,0.384,허경민
348.0,0.305,95.0,10.0,150.0,43.0,27.0,48.0,3.0,0.482,0.36,라모스
154.0,0.302,38.0,1.0,46.0,20.0,19.0,11.0,0.0,0.365,0.395,김재호
608.0,0.284,145.0,4.0,184.0,95.0,71.0,47.0,52.0,0.361,0.376,정수빈
