월,일,시작시간,어웨이팀명,홈팀명,어웨이점수,홈점수
09,01,14:00,롯데,두산,4,3
09,01,14:00,NC,SSG,8,2
09,01,14:00,KIA,삼성,6,5
09,03,18:30,롯데,삼성,1,5
09,03,18:30,키움,NC,5,11
09,03,18:30,LG,KIA,5,7
09,03,18:30,두산,한화,1,7
09,04,18:30,SSG,LG,0,5
09,04,18:30,KT,롯데,5,7
09,04,18:30,두산,삼성,3,7
09,04,18:30,키움,NC,6,13
09,04,18:30,한화,KIA,5,4
09,05,18:30,SSG,LG,4,2
09,05,18:30,KT,롯데,12,2
09,05,18:30,키움,NC,12,7
09,05,18:30,한화,KIA,3,4
09,06,18:30,한화,LG,3,1
09,06,18:30,삼성,롯데,7,2
09,06,18:30,KT,NC,9,3
09,06,18:30,키움,KIA,0,14
09,07,14:00,한화,LG,3,9
09,07,17:00,SSG,롯데,1,1
09,07,17:00,NC,삼성,9,1
09,07,17:00,두산,KT,12,2
09,07,17:00,키움,KIA,2,6
09,08,14:00,한화,LG,3,14
09,08,14:00,SSG,롯데,11,6
09,08,14:00,NC,삼성,2,10
09,08,14:00,키움,KIA,2,5
09,10,18:30,롯데,LG,2,1
09,10,18:30,한화,SSG,0,5
09,10,18:30,NC,KT,8,11
09,10,18:30,두산,키움,1,7
09,11,18:30,키움,LG,9,5
09,11,18:30,롯데,SSG,10,2
09,11,18:30,NC,KT,1,2
09,11,18:30,삼성,한화,10,1
09,12,18:30,키움,LG,,
09,12,18:30,NC,KT,4,10
09,12,18:30,롯데,KIA,0,10
09,12,18:30,삼성,한화,7,1
09,13,18:30,NC,두산,,
09,13,18:30,LG,SSG,,
09,13,18:30,한화,롯데,,
09,14,14:00,삼성,SSG,,
09,14,14:00,한화,롯데,,
09,14,17:00,KT,두산,,
09,14,17:00,LG,NC,,
09,14,17:00,키움,KIA,,
09,15,14:00,삼성,SSG,,
09,15,14:00,한화,롯데,,
09,15,14:00,LG,NC,,
09,15,14:00,키움,KIA,,
09,16,14:00,키움,두산,,
09,16,14:00,KIA,KT,,
09,17,14:00,삼성,두산,,
09,17,14:00,KIA,SSG,,
09,17,14:00,LG,롯데,,
09,17,14:00,한화,NC,,
09,17,14:00,KT,키움,,
09,18,14:00,LG,롯데,,
09,18,14:00,한화,NC,,
09,18,14:00,삼성,KT,,
09,19,18:30,KIA,두산,,
09,19,18:30,키움,SSG,,
09,19,18:30,LG,롯데,,
09,19,18:30,한화,NC,,
09,19,18:30,삼성,KT,,
09,20,18:30,두산,LG,,
09,20,18:30,키움,SSG,,
09,20,18:30,롯데,NC,,
09,21,14:00,두산,LG,,
09,21,17:00,키움,삼성,,
09,21,17:00,SSG,KT,,
09,21,17:00,NC,KIA,,
09,21,17:00,롯데,한화,,
09,22,14:00,두산,LG,,
09,22,14:00,키움,삼성,,
09,22,14:00,SSG,KT,,
09,22,14:00,롯데,한화,,
09,23,18:30,SSG,두산,,
09,23,18:30,삼성,KIA,,
09,24,18:30,NC,두산,,
09,24,18:30,LG,SSG,,
09,24,18:30,롯데,KT,,
09,24,18:30,삼성,KIA,,
09,24,18:30,한화,키움,,
09,25,18:30,한화,LG,,
09,25,18:30,SSG,NC,,
09,25,18:30,롯데,KIA,,
09,26,18:30,키움,LG,,
09,26,18:30,두산,롯데,,
09,26,18:30,SSG,NC,,
09,27,18:30,NC,롯데,,
09,27,18:30,키움,KT,,
09,27,18:30,KIA,한화,,
09,28,17:00,KIA,롯데,,
09,28,17:00,LG,삼성,,
09,28,17:00,두산,NC,,
09,28,17:00,키움,KT,,
09,28,17:00,SSG,한화,,
