일자,홈/어웨이,팀명,선발투수,시즌평균자책점,시즌WAR,시즌경기,시즌선발평균이닝,시즌QS,시즌WHIP,홈어웨이평균자책점,홈어웨이경기,홈어웨이선발평균이닝,홈어웨이QS,홈어웨이WHIP,맞대결평균자책점,맞대결경기,맞대결선발평균이닝,맞대결QS,맞대결WHIP
2024-09-19,어웨이,KIA,스타우트,3.77,0.30,3,4.2,0,1.19,11.25,1,4.0,0,1.25,-,-,-,-,-
2024-09-19,홈,두산,최승용,7.31,-0.20,10,2.2,0,2.13,0.00,3,0.0,0,1.64,16.20,2,0.0,0,3.60
2024-09-19,어웨이,키움,전준표,5.57,-0.37,16,3.1,0,1.81,3.18,5,4.0,0,1.50,6.75,2,2.0,0,3.00
2024-09-19,홈,SSG,앤더슨,3.86,2.60,21,5.0,8,1.31,5.60,12,5.1,6,1.28,2.51,3,4.2,1,1.12
2024-09-19,어웨이,LG,임준형,7.36,-0.05,15,0.0,0,1.55,6.75,5,0.0,0,1.00,10.13,3,0.0,0,1.50
2024-09-19,홈,롯데,박세웅,4.70,2.57,28,5.2,14,1.42,3.39,14,6.1,10,1.14,5.09,3,6.0,1,1.30
2024-09-19,어웨이,한화,류현진,3.71,3.84,27,5.2,16,1.33,4.44,19,5.2,10,1.42,4.00,3,6.0,2,1.11
2024-09-19,홈,NC,이용준,5.46,0.19,7,4.1,1,1.52,3.38,3,5.1,1,1.31,0.00,1,5.0,0,0.60
2024-09-19,어웨이,삼성,이호성,7.33,-0.27,15,3.1,0,2.00,6.26,7,3.1,0,1.87,-,-,-,-,-
2024-09-19,홈,KT,쿠에바스,3.85,3.84,29,5.2,19,1.20,5.21,14,5.1,5,1.42,2.50,3,6.0,2,1.00
