일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-19,어웨이,KIA,4.39,0.301,6.0,5.3,3.99,0.304,6.2,4.8,5.91,0.289,5.5,6.9
2024-09-19,홈,두산,4.83,0.277,5.4,5.2,4.28,0.263,5.0,4.9,5.26,0.306,6.9,5.5
2024-09-19,어웨이,키움,5.05,0.264,4.6,5.4,5.44,0.273,5.3,5.7,4.68,0.229,3.5,5.1
2024-09-19,홈,SSG,5.32,0.273,5.2,5.7,5.49,0.279,5.5,6.2,3.56,0.271,5.1,3.5
2024-09-19,어웨이,LG,4.62,0.281,5.5,5.1,5.00,0.274,5.3,5.3,4.01,0.285,5.1,4.6
2024-09-19,홈,롯데,5.06,0.284,5.6,5.5,4.77,0.307,6.2,5.4,4.63,0.281,4.6,5.1
2024-09-19,어웨이,한화,5.06,0.270,5.2,5.5,4.97,0.273,5.4,5.4,4.36,0.235,2.9,5.1
2024-09-19,홈,NC,4.82,0.274,5.5,5.4,4.08,0.282,5.5,5.0,2.31,0.274,5.1,2.9
2024-09-19,어웨이,삼성,4.60,0.270,5.4,4.9,4.48,0.265,5.1,4.6,3.70,0.257,4.1,4.1
2024-09-19,홈,KT,5.15,0.276,5.3,5.6,5.28,0.281,4.9,5.9,3.63,0.248,4.1,4.1
