,month,day,time,away_team,home_team,away_score,home_score
0,08,01,18:30,삼성,LG,7,0
1,08,01,18:30,롯데,SSG,4,2
2,08,01,18:30,한화,KT,14,8
3,08,01,18:30,두산,KIA,1,0
4,08,01,18:30,NC,키움,9,14
5,08,02,18:30,키움,두산,6,4
6,08,02,18:30,SSG,삼성,3,4
7,08,02,18:30,KT,NC,9,7
8,08,02,18:30,KIA,한화,3,10
9,08,02,18:30,LG,롯데,,
10,08,03,18:00,키움,두산,15,5
11,08,03,18:00,SSG,삼성,4,12
12,08,03,18:00,KT,NC,,
13,08,03,18:00,KIA,한화,7,3
14,08,03,18:00,LG,롯데,3,8
15,08,04,17:00,키움,두산,,
16,08,04,17:00,SSG,삼성,3,8
17,08,04,17:00,KT,NC,5,15
18,08,04,17:00,KIA,한화,,
19,08,04,17:00,LG,롯데,,
20,08,06,18:30,LG,두산,6,7
21,08,06,18:30,NC,롯데,5,6
22,08,06,18:30,한화,삼성,8,5
23,08,06,18:30,KT,KIA,0,2
24,08,06,18:30,SSG,키움,6,2
25,08,07,18:30,LG,두산,4,8
26,08,07,18:30,NC,롯데,7,14
27,08,07,18:30,한화,삼성,6,10
28,08,07,18:30,KT,KIA,13,2
29,08,07,18:30,SSG,키움,6,2
30,08,08,18:30,LG,두산,10,3
31,08,08,18:30,NC,롯데,,
32,08,08,18:30,한화,삼성,6,4
33,08,08,18:30,KT,KIA,1,0
34,08,08,18:30,SSG,키움,0,3
35,08,09,18:30,NC,LG,9,10
36,08,09,18:30,두산,SSG,13,11
37,08,09,18:30,롯데,KT,6,10
38,08,09,18:30,삼성,KIA,8,9
39,08,09,18:30,키움,한화,5,7
40,08,10,18:00,NC,LG,3,9
41,08,10,18:00,두산,SSG,10,6
42,08,10,18:00,롯데,KT,2,0
43,08,10,18:00,삼성,KIA,,
44,08,10,18:00,키움,한화,3,1
45,08,11,18:00,NC,LG,3,4
46,08,11,18:00,두산,SSG,9,11
47,08,11,18:00,롯데,KT,9,7
48,08,11,18:00,삼성,KIA,5,4
49,08,11,18:00,키움,한화,7,3
50,08,13,18:30,롯데,두산,,
51,08,13,18:30,KT,삼성,2,7
52,08,13,18:30,SSG,NC,2,0
53,08,13,18:30,KIA,키움,2,0
54,08,13,18:30,LG,한화,3,2
55,08,14,18:30,롯데,두산,12,2
56,08,14,18:30,KT,삼성,1,3
57,08,14,18:30,SSG,NC,,
58,08,14,18:30,KIA,키움,1,2
59,08,14,18:30,LG,한화,5,9
60,08,15,17:00,KIA,키움,12,1
61,08,15,18:00,롯데,두산,3,4
62,08,15,18:00,KT,삼성,5,3
63,08,15,18:00,SSG,NC,10,5
64,08,15,18:00,LG,한화,17,3
65,08,16,18:30,KIA,LG,3,2
66,08,16,18:30,한화,SSG,2,1
67,08,16,18:30,키움,롯데,0,4
68,08,16,18:30,삼성,NC,7,3
69,08,16,18:30,두산,KT,5,0
70,08,17,18:00,KIA,LG,14,4
71,08,17,18:00,한화,SSG,8,5
72,08,17,18:00,키움,롯데,8,7
73,08,17,18:00,삼성,NC,5,4
74,08,17,18:00,두산,KT,3,2
75,08,18,18:00,KIA,LG,4,0
76,08,18,18:00,한화,SSG,7,1
77,08,18,18:00,키움,롯데,4,5
78,08,18,18:00,삼성,NC,5,3
79,08,18,18:00,두산,KT,4,5
80,08,20,18:30,SSG,LG,3,4
81,08,20,18:30,키움,KT,3,2
82,08,20,18:30,롯데,KIA,,
83,08,20,18:30,두산,삼성,0,3
84,08,20,18:30,NC,한화,2,3
85,08,21,18:30,SSG,LG,5,1
86,08,21,18:30,키움,KT,0,5
87,08,21,18:30,롯데,KIA,5,6
88,08,21,18:30,두산,삼성,5,2
89,08,21,18:30,NC,한화,8,2
90,08,22,18:30,SSG,LG,3,13
91,08,22,18:30,키움,KT,2,3
92,08,22,18:30,롯데,KIA,4,6
93,08,22,18:30,두산,삼성,,
94,08,22,18:30,NC,한화,,
95,08,23,18:30,한화,두산,7,4
96,08,23,18:30,KT,SSG,11,6
97,08,23,18:30,롯데,삼성,3,5
98,08,23,18:30,KIA,NC,4,17
99,08,23,18:30,LG,키움,3,9
100,08,24,18:00,한화,두산,7,6
101,08,24,18:00,KT,SSG,9,3
102,08,24,18:00,롯데,삼성,11,3
103,08,24,18:00,KIA,NC,2,0
104,08,24,18:00,LG,키움,7,0
105,08,25,14:00,LG,키움,4,6
106,08,25,18:00,한화,두산,3,1
107,08,25,18:00,KT,SSG,3,4
108,08,25,18:00,롯데,삼성,5,10
109,08,25,18:00,KIA,NC,2,8
110,08,27,18:30,KT,LG,1,6
111,08,27,18:30,한화,롯데,1,3
112,08,27,18:30,두산,NC,13,7
113,08,27,18:30,SSG,KIA,4,10
114,08,27,18:30,삼성,키움,1,0
115,08,28,18:30,KT,LG,8,4
116,08,28,18:30,한화,롯데,7,0
117,08,28,18:30,두산,NC,8,1
118,08,28,18:30,SSG,KIA,6,7
119,08,28,18:30,삼성,키움,9,5
120,08,29,18:30,KT,LG,8,7
121,08,29,18:30,한화,롯데,11,14
122,08,29,18:30,두산,NC,2,10
123,08,29,18:30,SSG,KIA,10,4
124,08,29,18:30,삼성,키움,1,0
125,08,30,18:30,LG,KT,11,7
126,08,30,18:30,롯데,키움,8,2
127,08,31,18:00,롯데,두산,7,4
128,08,31,18:00,NC,SSG,7,2
129,08,31,18:00,KIA,삼성,15,13
130,08,31,18:00,KT,한화,6,2
