순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KIA,0.300,132,5341,4706,789,1411,249,26,152,2168,752,42,49,485,17,57,831,106,0.461,0.369,0.830,132,0.310,0.354
2,LG,0.283,130,5180,4441,725,1258,215,27,100,1827,687,38,67,570,18,64,879,89,0.411,0.368,0.779,129,0.286,0.275
3,롯데,0.282,127,5081,4510,702,1274,251,34,113,1932,663,35,50,427,12,59,961,87,0.428,0.349,0.777,127,0.289,0.246
4,두산,0.278,132,5223,4583,719,1275,218,21,137,1946,680,44,57,465,17,74,1010,97,0.425,0.350,0.775,131,0.276,0.253
5,KT,0.277,131,5284,4623,690,1279,202,13,134,1909,648,54,41,525,17,41,1041,103,0.413,0.353,0.766,131,0.274,0.224
6,NC,0.273,128,5140,4447,707,1212,197,11,155,1896,672,48,51,472,14,122,1075,89,0.426,0.355,0.781,128,0.276,0.235
7,한화,0.272,128,5090,4464,674,1215,196,17,118,1799,632,40,35,473,14,78,949,90,0.403,0.350,0.753,128,0.293,0.235
8,SSG,0.270,130,5100,4506,664,1217,205,18,129,1845,635,45,45,434,12,70,987,78,0.409,0.340,0.749,130,0.281,0.138
9,삼성,0.268,132,5224,4556,695,1223,188,16,163,1932,661,56,44,486,12,82,1056,87,0.424,0.347,0.771,131,0.269,0.244
10,키움,0.264,130,5090,4501,597,1187,198,19,95,1708,569,33,44,441,10,71,1013,90,0.379,0.336,0.715,129,0.280,0.225
