순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK
1,KIA,4.41,132,80,50,42,84,0.615,1183,1254,135,502,82,1034,701,580,1.48,4.41,4,6,38,19,5313,20725,212,17,31,34,13,43,2
2,삼성,4.49,132,73,57,38,109,0.562,1180 2/3,1241,145,431,72,908,632,589,1.42,4.49,2,11,45,22,5194,20444,199,22,45,57,18,53,1
3,LG,4.59,130,68,60,29,58,0.531,1152,1236,112,486,72,979,657,588,1.49,4.59,2,5,53,17,5146,20063,195,8,46,54,10,61,4
4,NC,4.79,128,58,68,20,59,0.460,1137 2/3,1234,120,466,59,944,692,606,1.49,4.79,0,7,50,15,5074,19932,233,22,48,49,7,41,6
5,두산,4.88,132,65,65,38,69,0.500,1177 2/3,1233,124,533,87,994,695,638,1.50,4.88,1,6,39,18,5295,21134,210,29,49,35,11,64,4
6,한화,4.94,128,60,66,23,58,0.476,1135 2/3,1260,116,463,71,1012,687,623,1.52,4.94,0,9,42,17,5085,20049,200,17,47,44,10,56,4
7,롯데,5.08,127,57,66,27,51,0.463,1129 2/3,1265,126,475,69,996,697,638,1.54,5.08,1,6,50,24,5092,19955,221,17,47,48,16,71,3
8,키움,5.09,130,54,76,22,45,0.415,1150 1/3,1276,135,457,77,835,715,651,1.51,5.09,0,3,52,11,5165,19447,229,24,38,60,14,56,7
9,KT,5.17,131,64,65,25,45,0.496,1165 1/3,1329,135,397,61,1035,738,669,1.48,5.17,0,5,45,18,5208,19810,240,33,43,64,21,54,5
10,SSG,5.33,130,61,67,26,69,0.477,1144 2/3,1223,148,568,68,1065,748,678,1.56,5.33,0,6,36,18,5181,20545,180,13,41,38,23,53,4
