순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,KIA,0.300,132,5341,4706,789,1411,249,26,152,2168,752,42,49,485,17,57,831,106,0.461,0.369,0.830,132,0.310,0.354
2,롯데,0.283,129,5169,4588,714,1298,256,34,116,1970,675,36,52,434,12,59,975,88,0.429,0.349,0.778,129,0.287,0.239
3,LG,0.282,132,5252,4504,731,1270,217,28,100,1843,693,39,68,576,18,65,898,89,0.409,0.367,0.776,131,0.286,0.277
4,두산,0.277,133,5255,4614,720,1280,219,21,137,1952,681,44,57,466,17,74,1018,98,0.423,0.349,0.772,132,0.276,0.259
5,KT,0.276,133,5357,4687,703,1295,206,14,136,1937,661,54,41,533,17,42,1053,104,0.413,0.353,0.766,133,0.276,0.222
6,NC,0.273,130,5219,4518,716,1232,199,11,161,1936,681,49,51,479,14,122,1086,91,0.429,0.355,0.784,130,0.274,0.238
7,SSG,0.270,132,5175,4576,671,1236,209,19,132,1879,642,45,46,438,12,70,1011,79,0.411,0.340,0.751,132,0.278,0.147
8,한화,0.270,130,5159,4522,675,1221,197,17,119,1809,633,40,35,482,14,80,964,92,0.400,0.348,0.748,130,0.290,0.229
9,삼성,0.270,133,5273,4599,705,1240,191,16,165,1958,670,56,45,491,12,82,1068,87,0.426,0.348,0.774,132,0.270,0.246
10,키움,0.265,132,5175,4572,613,1211,204,19,96,1741,585,34,45,451,10,73,1030,93,0.381,0.337,0.718,131,0.281,0.225
