순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK
1,KIA,4.41,132,80,50,42,84,0.615,1183,1254,135,502,82,1034,701,580,1.48,4.41,4,6,38,19,5313,20725,212,17,31,34,13,43,2
2,삼성,4.46,133,74,57,38,109,0.565,1189 2/3,1243,146,435,74,917,633,590,1.41,4.46,2,11,45,22,5228,20599,199,22,45,57,18,53,1
3,LG,4.60,132,68,62,29,58,0.523,1171,1259,113,493,73,991,668,599,1.50,4.60,2,5,54,18,5231,20401,201,8,47,54,10,61,4
4,NC,4.83,130,58,70,20,59,0.453,1153 2/3,1250,122,474,60,956,705,619,1.49,4.83,0,7,51,15,5147,20226,237,23,48,49,7,41,6
5,두산,4.90,133,65,66,38,69,0.496,1185 2/3,1244,125,538,88,1004,702,645,1.50,4.90,1,6,39,18,5336,21283,212,29,49,36,11,64,4
6,한화,4.98,130,60,68,23,58,0.469,1152 2/3,1286,120,469,71,1036,702,638,1.52,4.98,0,9,43,17,5168,20395,205,18,47,46,10,57,4
7,롯데,5.01,129,59,66,27,51,0.472,1148 2/3,1280,127,482,69,1016,700,640,1.53,5.01,1,6,51,24,5169,20242,223,18,48,48,16,71,3
8,키움,5.06,132,56,76,22,45,0.424,1168 1/3,1288,135,460,78,854,721,657,1.50,5.06,0,3,53,11,5233,19719,232,24,38,61,14,56,7
9,KT,5.16,133,66,65,27,49,0.504,1183 1/3,1349,141,404,61,1046,747,678,1.48,5.16,0,5,45,18,5287,20140,242,33,44,64,21,54,5
10,SSG,5.32,132,62,68,26,72,0.477,1162 2/3,1241,150,578,68,1080,758,687,1.56,5.32,0,7,36,18,5263,20865,184,13,42,40,23,54,4
