팀명,순위,승률,RBI,OPS,ERA,HLD,CG,QS,K%,K/BB,WHIP,SB%,OOB,PKO,wOBA,WAR,HLD_st,RBI_st,QS_st
두산,1,0.549,770,0.805,5.02,57,3,58,18.423,1.822,1.53,70.3,56,6,0.355,23.27,-0.421,0.951,0.142
삼성,2,0.611,850,0.847,4.69,60,4,75,21.676,2.823,1.37,75.1,60,6,0.37,32.79,-0.22,1.848,1.613
NC,3,0.596,802,0.822,4.26,55,1,55,19.072,2.424,1.34,77.3,50,14,0.359,26.37,-0.556,1.31,-0.117
키움,4,0.545,855,0.858,4.91,44,1,49,18.596,2.058,1.49,68.0,72,16,0.371,33.1,-1.296,1.905,-0.636
SSG,5,0.486,656,0.759,4.71,60,3,57,20.304,2.222,1.46,61.4,59,14,0.337,11.47,-0.22,-0.328,0.056
한화,6,0.472,667,0.764,5.11,44,5,37,15.851,1.42,1.56,63.0,57,14,0.341,14.31,-1.296,-0.204,-1.675
KIA,7,0.465,602,0.718,4.79,65,1,44,17.077,1.712,1.53,69.7,60,13,0.317,0.95,0.117,-0.933,-1.069
롯데,8,0.462,727,0.802,5.07,47,3,59,17.643,2.076,1.52,67.5,56,9,0.351,20.31,-1.094,0.469,0.229
LG,9,0.451,601,0.738,4.62,44,3,57,18.811,2.169,1.44,64.6,55,9,0.327,5.68,-1.296,-0.944,0.056
KT,10,0.364,633,0.747,5.56,31,3,34,17.864,1.813,1.65,70.5,58,10,0.332,9.37,-2.17,-0.585,-1.934
두산,1,0.65,877,0.851,4.45,55,2,75,17.246,1.972,1.46,65.4,64,4,0.373,30.08,-0.556,2.151,1.613
NC,2,0.589,808,0.825,4.48,62,0,42,20.314,2.223,1.42,70.7,48,3,0.365,25.33,-0.085,1.377,-1.242
키움,3,0.538,765,0.808,4.96,74,0,45,15.694,2.057,1.5,65.0,56,11,0.358,19.05,0.722,0.895,-0.983
LG,4,0.5,744,0.778,5.04,75,2,53,15.65,1.686,1.53,63.4,70,13,0.348,13.53,0.789,0.66,-0.29
KIA,5,0.49,754,0.81,4.97,74,7,58,16.706,1.72,1.58,66.9,52,12,0.356,18.82,0.722,0.772,0.142
SSG,6,0.479,715,0.81,4.87,43,1,60,16.627,1.793,1.5,59.7,71,8,0.355,17.39,-1.363,0.334,0.315
한화,7,0.468,787,0.793,5.76,39,1,25,16.325,1.539,1.67,62.7,58,10,0.351,16.8,-1.632,1.142,-2.713
롯데,8,0.458,732,0.792,5.63,59,2,50,17.333,1.725,1.64,69.4,55,10,0.354,18.37,-0.287,0.525,-0.55
삼성,9,0.455,792,0.806,5.64,60,2,49,16.036,1.805,1.58,67.5,51,5,0.357,20.43,-0.22,1.198,-0.636
KT,10,0.373,639,0.739,5.92,48,1,38,16.53,1.75,1.69,67.6,58,11,0.331,4.2,-1.027,-0.518,-1.588
KIA,1,0.608,868,0.839,4.79,46,5,75,17.071,2.27,1.51,69.1,46,8,0.36,30.26,-1.161,2.05,1.613
두산,2,0.596,812,0.828,4.38,46,3,69,16.798,2.06,1.45,67.6,36,8,0.357,28.19,-1.161,1.422,1.094
롯데,3,0.563,697,0.789,4.56,59,1,61,19.411,2.298,1.42,67.6,52,10,0.342,18.02,-0.287,0.132,0.402
NC,4,0.56,739,0.808,4.71,51,1,48,19.483,2.334,1.41,74.4,59,7,0.351,24.6,-0.825,0.603,-0.723
SSG,5,0.524,733,0.806,5.02,64,2,57,16.451,1.954,1.51,55.8,33,7,0.342,17.11,0.049,0.536,0.056
LG,6,0.489,663,0.748,4.3,66,4,62,18.926,2.744,1.32,57.9,50,9,0.328,8.67,0.184,-0.249,0.488
키움,7,0.486,748,0.794,5.03,66,2,60,17.76,2.59,1.48,67.3,55,2,0.344,19.63,0.184,0.704,0.315
한화,8,0.43,684,0.785,5.28,49,1,54,16.002,2.049,1.51,59.3,58,12,0.34,16.32,-0.959,-0.013,-0.204
삼성,9,0.396,703,0.768,5.88,34,1,43,17.947,1.94,1.63,72.6,53,6,0.33,11.81,-1.968,0.2,-1.156
KT,10,0.347,625,0.742,5.75,41,4,49,16.033,2.109,1.56,62.8,54,8,0.322,5.29,-1.497,-0.675,-0.636
SSG,1,0.545,791,0.829,4.67,63,0,60,20.366,2.659,1.39,73.5,51,10,0.353,24.14,-0.018,1.187,0.315
두산,2,0.646,898,0.862,4.98,56,1,73,17.91,2.153,1.46,80.7,54,7,0.366,34.25,-0.489,2.387,1.44
한화,3,0.535,668,0.763,4.93,62,0,45,19.895,2.381,1.46,64.8,58,10,0.328,7.53,-0.085,-0.193,-0.983
키움,4,0.521,787,0.803,5.08,72,4,63,17.995,2.454,1.45,75.4,45,6,0.342,18.52,0.587,1.142,0.575
KIA,5,0.486,823,0.824,5.4,43,4,50,17.811,2.285,1.54,70.4,53,6,0.352,24.33,-1.363,1.546,-0.55
삼성,6,0.486,732,0.787,5.19,56,0,58,19.366,2.526,1.49,69.0,46,4,0.339,15.53,-0.489,0.525,0.142
롯데,7,0.479,792,0.827,5.37,64,0,43,20.231,2.124,1.53,68.0,46,10,0.35,23.21,0.049,1.198,-1.156
LG,8,0.476,740,0.798,5.29,43,3,64,18.709,2.336,1.49,65.1,48,7,0.341,16.58,-1.363,0.615,0.661
KT,9,0.418,721,0.796,5.34,45,4,59,17.769,2.506,1.56,58.4,63,7,0.338,13.71,-1.228,0.402,0.229
NC,10,0.406,629,0.733,5.48,51,1,45,17.677,1.881,1.57,70.1,48,8,0.316,1.82,-0.825,-0.63,-0.983
두산,1,0.615,691,0.744,3.51,69,3,81,15.833,2.263,1.28,72.9,59,7,0.34,24.8,0.386,0.065,2.132
키움,2,0.601,741,0.768,3.61,91,2,76,18.118,2.652,1.3,76.9,37,6,0.348,29.32,1.865,0.626,1.7
SSG,3,0.615,622,0.718,3.48,92,0,78,19.95,2.505,1.3,70.2,51,12,0.326,16.35,1.932,-0.709,1.873
LG,4,0.552,604,0.711,3.86,62,1,73,17.114,1.91,1.37,69.7,38,6,0.323,14.69,-0.085,-0.911,1.44
NC,5,0.514,639,0.761,4.01,68,5,60,17.745,2.052,1.38,65.9,53,7,0.343,25.2,0.318,-0.518,0.315
KT,6,0.5,615,0.729,4.29,59,2,62,15.284,1.763,1.4,70.3,58,8,0.332,19.81,-0.287,-0.787,0.488
KIA,7,0.437,567,0.705,4.65,64,3,59,17.405,1.937,1.48,67.4,61,7,0.323,14.49,0.049,-1.326,0.229
삼성,8,0.42,598,0.718,4.64,60,4,54,16.431,1.767,1.45,71.8,45,7,0.325,16.15,-0.22,-0.978,-0.204
한화,9,0.403,562,0.686,4.8,43,2,48,16.432,1.776,1.52,67.3,51,6,0.313,9.29,-1.363,-1.382,-0.723
롯데,10,0.34,545,0.674,4.83,47,1,47,18.091,1.892,1.54,67.7,49,8,0.308,6.57,-1.094,-1.573,-0.809
NC,1,0.601,845,0.828,4.58,88,0,59,18.474,1.918,1.42,72.7,49,7,0.366,33.89,1.663,1.792,0.229
두산,2,0.564,778,0.792,4.31,45,1,63,18.473,2.188,1.46,70.4,63,4,0.354,26.85,-1.228,1.041,0.575
KT,3,0.566,767,0.794,4.54,71,0,56,14.927,1.621,1.46,67.9,49,6,0.353,25.33,0.52,0.917,-0.031
LG,4,0.564,760,0.777,4.37,67,2,70,17.966,2.067,1.42,68.0,64,5,0.346,21.24,0.251,0.839,1.181
키움,5,0.559,713,0.763,4.39,81,0,53,17.062,2.13,1.39,80.7,40,11,0.344,21.34,1.193,0.312,-0.29
KIA,6,0.507,692,0.755,5.13,79,1,57,18.175,1.857,1.54,65.3,47,6,0.341,18.31,1.058,0.076,0.056
